(0, 1)
(1, 1)
(1, 2)
(1, 3)
(2, 3)
(3, 3)
(3, 4)
(3, 5)
(4, 5)
(5, 5)
(5, 4)
(5, 3)
(5, 2)
(5, 1)
(6, 1)
(7, 1)
(7, 2)
(7, 3)
(8, 3)
(9, 3)
(10, 3)
(11, 3)
(12, 3)
(13, 3)
(13, 2)
(13, 1)
(14, 1)
(15, 1)
(16, 1)
(17, 1)
(18, 1)
(19, 1)
(20, 1)
(21, 1)
(22, 1)
(23, 1)
(24, 1)
(25, 1)
(26, 1)
(27, 1)
(28, 1)
(29, 1)
(29, 2)
(29, 3)
(30, 3)
(31, 3)
(32, 3)
(33, 3)
(33, 2)
(33, 1)
(34, 1)
(35, 1)
(35, 2)
(35, 3)
(35, 4)
(35, 5)
(34, 5)
(33, 5)
(33, 6)
(33, 7)
(33, 8)
(33, 9)
(33, 10)
(33, 11)
(34, 11)
(35, 11)
(35, 10)
(35, 9)
(35, 8)
(35, 7)
(36, 7)
(37, 7)
(37, 8)
(37, 9)
(37, 10)
(37, 11)
(37, 12)
(37, 13)
(37, 14)
(37, 15)
(37, 16)
(37, 17)
(37, 18)
(37, 19)
(38, 19)
(39, 19)
(39, 20)
(39, 21)
(38, 21)
(37, 21)
(37, 22)
(37, 23)
(36, 23)
(35, 23)
(35, 24)
(35, 25)
(35, 26)
(35, 27)
(36, 27)
(37, 27)
(37, 28)
(37, 29)
(38, 29)
(39, 29)
(39, 30)
(39, 31)
(39, 32)
(39, 33)
(39, 34)
(39, 35)
(38, 35)
(37, 35)
(37, 36)
(37, 37)
(38, 37)
(39, 37)
(39, 38)
(39, 39)
(40, 39)
